category,count
Phoenix,1301
Domestic housekeepers,1297
St. Louis,1291
Selling,1286
Columbus,1265
Advanced Practitioners,1260
Cooks,1247
Law Practice,1222
physician,1210
Driver,1198
Stores,1190
Medical imaging and therapeutic equipment technicians,1178
healthcare_nursing,1171
Orange County,1143
Pharmaceutical Manufacturing,1141
Rehabilitation,1136
Field Operations,1127
Clinical Staff,1112
Elementary workers not elsewhere classified,1091
"Macon, GA",1080
Manufacturing supervisors,1078
SSAs,1073
Respiratory Therapist,1067
Patient Care,1063
Retail Apparel And Fashion,1049
"39,RealMatchBoost,",1046
151000,1045
"Fort Smith, AR",1044
Engineering professionals not elsewhere classified,1043
Stock clerks,1031
Construction supervisors,1026
Omaha,1020
Systems analysts,1019
"21,RealMatchBoost,",1005
Protective Service,1004
Special needs teachers,1004
Manufacturing Operations,1004
Fast food preparers,1001
Tobacco preparers and tobacco products makers,997
Hair Stylist,984
Nursing Professional,982
Seattle,963
Nashville,951
Physicians,948
Commissioned armed forces officers,933
"5,RealMatchBoost,",926
Personal Care,922
Pharmacy,920
Lease - Group 1,920
Hotel receptionists,917
Office supervisors,907
Fulfillment Center Operations,895
Hartford,882
Insurance,878
Behavior Technician,878
Portland,873
Restaurant Crew,858
Team Member,852
Group 1,846
Security Officers,846
New Hampshire,844
Electronics Engineering Technicians,841
Clinical/Nursing,840
Legal professionals not elsewhere classified,838
CT Technologist,837
Retail Sales Merchandising,832
"Hair Stylist,Barber",825
Maintenance,822
Leadership,813
Social welfare managers,810
Automotive,804
ICU,800
Legal and related associate professionals,795
Restaurant managers,794
Lab Operations,790
LPN/LVN,780
"Atlantic City, NJ",777
Receptionists (general),771
University and higher education teachers,768
"Jackson, TN",767
North Bay,765
Software developers,761
Technicians/Patient Care Support,761
Transport clerks,760
Long Island - Suffolk,756
MEDSURG,751
Physical Therapist,743
Culinary,739
Physical and engineering science technicians not elsewhere classified,730
Legal Services,725
Lease - Group 2,718
Merchandiser,718
In Store Project and Reset Merchandising,716
Operations and Store Line,706
"28,RealMatchBoost,",705
LA Valley,702
Human resource managers,695
Plastic products machine operators,690
Restaurant & Food Service,688
Government,683
Electrical engineers,683
Nursing-Inpatient,679
"Legal Services,Law Practice",679
Baton Rouge,675
ALLIED,675
Computer network and systems technicians,671
NURSING-STAFF - ADULT CRITICAL CARE,668
Life science technicians (excluding medical),668
Executive,667
Group 2,666
Club Operations,665
Nursing - Direct Care,663
499000,651
Central Valley,648
HR / Recruitment,645
ABA Therapy,644
Software Development,643
General,639
Child care services managers,635
Transportation and Storage,634
Long Island - Nassau,630
Insurance representatives,626
X-ray Tech,625
Information Technology/MIS,622
Oklahoma City,621
Raleigh,621
Tech Services,621
Administration,619
CompanyGenAll - Group1,616
"San Juan, PR",612
151200,608
San Diego,608
Electronics engineers,602
Executive Positions,600
Lawyers,597
"Charleston, WV",594
Software and applications developers and analysts not elsewhere classified,593
Healthcare Support,591
Health Care Assistants,590
Home Care Aide,586
Specialized Services,585
Richmond,576
"34,RealMatchBoost,",567
Austin,567
otr,563
Systems administrators,561
Connecticut,559
South Bay,558
"Huntington, WV",558
Mechanical engineers,558
Human Resources,556
Central Illinois,549
New Orleans,549
Food & Beverage,545
Med Surg,544
General Dentistry - Hygienist,540
HVAC Service Techs,536
CompanyGenAll - Group2,533
"Lawton, OK",531
Chemical processing plant controllers,530
Louisville,525
Optometrists and ophthalmic opticians,523
Licensed Clinical,521
Store Operations Associates,516
Merchandising,516
Ambulance workers,515
Call Centre / CustomerService,515
Albany,513
Retail Services Careers,508
Interior designers and decorators,508
Chemical and physical science technicians,503
Jacksonville,503
PT,503
Cleaner,497
Customer Service & Transaction Processing,496
Birmingham,495
Information Technology,492
Facilities,492
Patient Care Support,485
Monterey,480
MW Weekly,480
Operating Room,479
131000,477
Service,477
"Transportation, Logistics, Supply Chain and Storage",475
Cath Lab Tech,474
"Warehouse, Fulfillment, Transportation",469
Health Professionals,456
Buffalo,450
"Janesville, WI",450
Rochester,450
Travel consultants and clerks,448
Laboratory Operations,445
Electrical line installers and repairers,444
"Dothan, AL",441
Restaurant Management,441
Medical General,440
Banking & Financial Services,439
"23,RealMatchBoost,",439
Warehouse,437
ER,435
CompanyGenAll,432
Ft. Myers/Naples,432
"Other, Mental Health Therapists",432
seg_1_priority,429
Greenville,427
Customer Service Representative,427
stepdown,427
Claims,426
Diagnostic Imaging,424
Client Service/Account Management,424
Tucson,423
"Tuscaloosa, AL",423
Surgical Services,420
Personal Care Assistant,419
RN,418
Finance,418
Advanced Practice Providers,417
logistics,410
Management,410
Las Vegas,408
Nursing Services,408
Marketing,407
Nursing-Outpatient,406
BUILD OPERATE MAINTAIN (PLANT OPNS),405
Other artistic and cultural associate professionals,404
Civil engineers,404
Northern Virginia,404
Retail Locations,403
Supply Chain & Manufacturing,401
"1,RealMatchBoost,",398
Radiology,397
Expanded Services - Expanded Services Dentistry,397
"13,RealMatchBoost,",392
Food and Beverage Manufacturing,386
Clinical Support,380
Printers,379
new york,378
"Roanoke, VA",378
Laboratory,378
Lease Purchase,373
493000,373
Knoxville,369
Comfort Advisors,369
Sarasota,369
"Sports, recreation and cultural centre managers",365
"Biologists, botanists, zoologists and related professionals",364
"Mining engineers, metallurgists and related professionals",363
Assistant Store Manager,360
Bus and tram drivers,358
Non-profit Organizations,358
Chefs,357
Mechanical engineering technicians,356
"35,RealMatchBoost,",355
Route Sales,354
Syracuse,351
"First-Line Supervisors, Customer Service",350
Research and development managers,348
Production,347
NURSING-STAFF - CARDIAC,344
Travel guides,343
Jackson,342
"Morgantown, WV",342
352000,341
Med/Surg,340
Store Operations,339
flatbed,337
Resident Care,336
Protective services workers not elsewhere classified,336
"Health Care, Nurse",335
Clinical Operations,335
Therapy & Rehabilitation,334
Business Operations,333
"Charlottesville, VA",333
"Wheeling, WV",333
Bartenders,332
"24,RealMatchBoost,",330
CNA,326
Memphis,325
San Francisco,324
"Imperial Valley, CA",324
Metro Jersey,324
Government & Defence,323
Manufacturing & Quality Assurance,323
"Medford, OR",315
"Columbia, SC",315
Physical Therapy,313
MW General,310
Vehicle cleaners,303
Finance managers,303
Rehabilitation Services,303
Hospitality,302
Greensboro,301
TECHNOLOGIST/TECH - SURG TECH/PERIOP,301
Education managers,301
LTAC,299
Albuquerque,298
"Kingsport, TN",297
Shreveport,297
"Bismarck, ND",297
"Parkersburg, WV",297
"Evansville, IN",297
Financial analysts,297
regional,295
emergency room,291
COMPUTER,291
Professional/Management,290
Truck Tire Care,287
LPN,287
Patient Care Direct (Allied Health),283
Security guards,282
Patient Care Direct (Nursing),282
Database and network professionals not elsewhere classified,282
Lexington,282
Technician,280
Case Management,280
"10,RealMatchBoost,",279
Restaurant Managers,279
Westchester,279
"Blacksburg, VA",279
Outside Service Technician/Exterminator,278
Clinician - Physical Therapist,277
Sales workers not elsewhere classified,277
Community health workers,272
Chattanooga,270
"Hagerstown, MD",270
Harrisburg,270
Anchorage,270
"Operations, IT, & Support Engineering",268
Product and Event Demonstrations,265
Solo-Teams Combo,264
Medical Center Support,263
Corporate,261
Youngstown,261
"Bellingham, WA",261
Product graders and testers (excluding foods and beverages),261
Northern Indiana,261
Outpatient Nurse,260
Fulfillment,254
Store Leadership,253
"Utica, NY",252
Auto Technician & Operations,252
"Alexandria, LA",252
Lakeland,252
Installation & Maintenance,252
Engineering Services,252
"20,RealMatchBoost,",248
Advanced Practice Clinician,247
Allied Health/Clinical Professional,246
Special Education Teaching Services,244
Palm Bay,243
Honolulu,243
"Fargo, ND",243
Grand Rapids,243
Carpenters and joiners,243
Companions and valets,242
"Clinical, Behavioral and Mental Health",241
Boise,241
Patient Care Tech/PCT,240
"Construction,Building Construction",239
Delaware,238
Landscaping,236
Craft Professionals,236
Information and communications technology user support technicians,236
South Texas,234
Amarillo,234
Shop supervisors,234
Medical records and health information technicians,233
Technology,233
Imaging & Diagnostics,233
Science,233
Electrical,232
Technicians,231
Community & Sport,230
Cartographers and surveyors,229
Energy,229
Information and communications technology sales professionals,227
Reno,225
Port St. Lucie,225
Event Positions,225
Information and communications technology service managers,224
Medical Assistant,223
Entertainment Providers,222
"15,RealMatchBoost,",219
Clinical Techs - CV Cath Lab Surg Vasc & Central Sterile,219
El Paso,219
Retail Luxury Goods And Jewelry,218
Nurse Management,217
Project Management,216
Ancillary,216
Facilities Maintenance General,216
"Binghamton, NY",216
"37,RealMatchBoost,",215
Healthcare & Pharmaceutical,214
Operations: Individual Contributors,213
"[""Skilled Trades""]",213
Route Delivery,212
"[""Onsite Management""]",212
Assistant Manager,210
Behavior Therapist,210
Building Maintenance,209
Logistics,208
Legal secretaries,207
"Harrisonburg, VA",207
Building and related electricians,206
Accountants,205
Applications programmers,205
Vehicle Operations,204
Government licensing officials,203
Sales and Sales Leadership,203
Nutrition Services,202
Pulp and papermaking plant operators,201
"Appliances, Electrical, and Electronics Manufacturing",200
Assembly,200
Program Services/Program Management,199
Finance and Insurance,199
Restaurant Team Members,199
Toledo,198
"Truck Driver, CDL",195
Compliance & Investigations,194
Banking,194
Home Health Aide,193
Commercial,192
HVAC Installers,191
SLP/OT/PT,191
"Grand Forks, ND",189
"9,RealMatchBoost,",188
Food and Beverage Services,187
Wellness and Fitness Services,187
"San Angelo, TX",187
Clinical/Non-Nursing,187
Plumbing Service Techs,186
Caregiver (Home Care Aide),184
Non-commissioned armed forces officers,181
General Dentistry - General Dentistry Assistant,181
"Gadsden, AL",180
Tallahassee,180
Erie,180
Registered Nursing,180
Flint,180
Respiratory,178
Agricultural and industrial machinery mechanics and repairers,176
Financial and investment advisers,175
Supply Chain,173
Medical and pathology laboratory technicians,172
Government Administration,172
Teaching,172
"Bangor, ME",171
CVOR,171
Caregiver,171
Lansing,171
Tyler/Longview,171
"Beckley, WV",171
"32,RealMatchBoost,",171
Professional,170
"Mathematicians, actuaries and statisticians",170
Building caretakers,170
Wholesale Building Materials,170
Clinical Laboratory,169
Community/Social Services,169
Quality,169
"38,RealMatchBoost,",168
Teaching professionals not elsewhere classified,168
Food service counter attendants,167
Business and Financial Operations,167
Management and organisation analysts,167
Metal working machine tool setters and operators,166
Industrial Machinery Manufacturing,166
OO,164
"46,RealMatchBoost,",164
Occupational Therapy,164
"Cheyenne, WY",162
"Statesville, NC",162
Bakersfield,162
H3002 - Delivery Driver,161
Drivers,161
Savannah,159
"Metal finishing, plating and coating machine operators",159
Valuers and loss assessors,159
OT,156
Medical Equipment Manufacturing,155
"Shenandoah, PA",153
Asheville,153
Little Rock,153
"Jacksonville, NC",153
Financial Services,152
Wholesale,151
Environmental Services / Custodial,150
"Technology, Information and Internet",149
Traditional and complementary medicine associate professionals,149
Home Health Aides/CNAs,149
Sports,149
"19,RealMatchBoost,",149
"31,RealMatchBoost,",148
Buyers,148
Environmental engineers,145
Direct Care Clinician,144
Operations/Production/Manufacturing,144
COTC - Western,144
Ft. Wayne,144
"Tullahoma, TN",144
"Helena, MT",144
"Idaho Falls, ID",144
"Homosassa/Inverness, FL",144
"Carbondale, IL",144
Legislators,143
"Messengers, package deliverers and luggage porters",143
RRT - Registered Respiratory Therapist,141
Directors & Managers,140
Marketing & Biz Dev,140
Charleston,139
Career Event,138
Hospitality and Support,138
Tele Step-down,138
Fulton,138
Pet groomers and animal care workers,138
Speech Language Pathology,138
Psychiatry,138
Respiratory Care,137
Nursing RN,136
Branch Banking,136
FB Area - Flatbed Lease,135
Physiotherapy technicians and assistants,135
"Dover, DE",135
Advanced Providers,135
Securities and finance dealers and brokers,135
TELE,134
Regional SE,134
Customer Service/Property Management,133
General Management,133
Retail Banking Sales & Service,133
Ultrasound Tech,132
Car Detailers,132
Staff Nurse,132
Operations - Hourly,132
MDT_State-College_230,132
Maintenance and Shop Repair,131
Staff Psychiatrist,131
Field Services,130
Social Worker,129
Hourly Sanitation,128
"Los Angeles, CA",128
Commercial Sales,128
Blair,128
"Lafayette, LA",127
Security Supervisor,127
Clinicians,127
Avera McKennan,127
"Astrologers, fortune-tellers and related workers",127
College Station,126
Business,126
Journalists,126
Refuse sorters,126
"Carson City, NV",126
"Valdosta, GA",126
E7172 - Territory Manager,126
"Albany, GA",126
Mechanic and Automotive,125
Contracted Direct Care Worker,125
PCU,125
General Dentist,124
Economists,124
Senior government officials,124
Patient Care Support / Technicians,124
Regional Midwest,123
Accounting,123
Company,123
Imaging Services,122
Store Job Family Group,122
Clerical/Administrative Support,122
Rental Location,122
Generic - No OTR/Dedicated/Local,121
Beauticians and related workers,121
leasepurchase,121
Telephone switchboard operators,120
Distribution Center,120
Chemical products plant and machine operators,120
Cook,120
Dining,119
Physician Practices,119
CHS110,119
Information Technology & Services,119
Patient Care Professional,119
Estimation,118
MRI Tech,118
Medical Assistants,117
Manufacturing labourers not elsewhere classified,117
"Bend, OR",117
Fayetteville,117
Salem,117
"Kalamazoo, MI",117
Allied Health Registered Licensed,117
"Rome, GA",117
"Greenville, TX",117
Chemical Manufacturing,115
"Installation, Maintenance, and Repair",115
Other Indirect,115
Food and related products machine operators,115
Motor Vehicle Manufacturing,115
Higher education,114
Prep,114
Flight Operations,113
Broadcasting and audiovisual technicians,113
Education & Training,113
Fancy Generic,113
Direct Support (Hourly),111
Public relations professionals,111
Health Care,110
Office and Administrative Support,110
"Health Care, Management, Nurse",109
Teachers’ aides,109
Riggers and cable splicers,109
"[""Skilled Technical""]",108
"Watertown, NY",108
Pharm,108
Corpus Christi,108
"Princeton/Bluefield, WV",108
"Johnstown, PA",108
reefer,108
"Rocky Mount, NC",108
Sales / Sales Support Group,108
Physical Therapist Assistant / PTA,108
OTR Lease,107
General Labor,107
Machine Operator,107
Social Services / Direct Care Support,106
Sustainability / Health & Safety / Environment,106
Retail Leadership,105
DryVan,105
Food and Beverage & Culinary,105
Distribution,105
Aurora,104
"Cape May, NJ",104
Technical_Operations,103
Nursing - Clinical/Nurse Consultant,103
"Terre Haute, IN",103
Nursing- ER - Inpatient & LVN/LPN,103
Ships’ engineers,103
RMS,103
Child care workers,102
On-Site Property Maintenance,102
Custodial and Janitorial Services,102
Managing directors and chief executives,101
Environmental protection professionals,101
Lab,101
BCBA,101
Talk Therapy,100
Plant Operations,100
Education methods specialists,100
Clinical Care-Radiology,100
Top Job Family Group,100
"Bullhead City, AZ",99
Bremerton,99
Petroleum and natural gas refining plant operators,99
"Columbia, MO",99
Direct Support Professional,99
Asset Protection,99
Imaging Tech - CT,99
Lifting truck operators,99
Science & Technology,99
"Houma/Thibodaux, LA",99
"Pottsville, PA",99
"St. George, UT",99
OR,98
Construction managers,98
Support Services,98
Airports & Warehouse,98
Town and traffic planners,98
Paramedic,97
Clearing and forwarding agents,97
Restaurant Team Member,97
Nursing-Other,97
Patient Care Operations,97
Dental Assistant,97
Physician,96
Physicists and astronomers,96
Mechanic/Welder,96
Services for Renewable Energy,96
Research Services,96
Brand Division Group,95
"IT Services and IT Consulting,Computer and Network Security,Computer Hardware Manufacturing",95
Medical Secretaries,94
Database designers and administrators,93
#W2I,92
Research & Development,92
Work Type:,92
Resident Services,92
Air traffic controllers,92
Electrical and electronic equipment assemblers,91
Unknown,91
Eugene,90
OTR Dry Van,90
Rehab,90
"Prestonsburg, KY",90
"Carrollton, GA",90
Creative and performing artists not elsewhere classified,90
"Fort Walton Beach, FL",90
Draughtspersons,90
BOS_Boston_DNI004,90
Custodial,90
Reading,90
Green Bay,90
"Farmington, NM",90
"Salisbury, MD",90
"Portland, ME",90
"14,RealMatchBoost,",89
Clinician - Occupational Therapist,89
Education Administration Programs,89
Respiratory Therapy,89
Health / Nursing,88
Provider,88
IT and Engineering,87
Nursing - RN,87
Culinary and Restaurant,87
Telecommunications,87
Group 3,86
Zanesville,86
Automotive Services,85
Training,85
Nursing-Staff,85
"[""Project Staffing""]",85
Clinical Assistants,85
Orthodontics - Orthodontics Assistant,85
Actors,84
DCA_Washington_DNI040,84
Fleet & Asset Management,84
Foods,84
Operations and Support,83
Production Operations,83
Nursing/Healthcare,83
"Civil Engineering,Construction",83
"18,RealMatchBoost,",82
Mosaic at Home Provider,81
Professional Training and Coaching,81
Field Sales,81
North Carolina,81
Therapy & Clinical Services,81
"Williamsport, PA",81
Athletes and sports players,80
Conference and event planners,80
Advanced Practice Provider,79
Logistics & Distribution,79
Client Relationship Management & Service Delivery,79
Engineering General,79
#ehinstall4,79
Regulatory government associate professionals not elsewhere classified,79
Accounting associate professionals,79
Manufacturing & Production,78
ORD_Chicago_364,78
Restaurant Staff,78
Forestry technicians,78
ATL_Atlanta_DNI010,78
Tree Service,77
Administrative/Clerical Support,77
Rehab Therapies,77
Home Health and Hospice,77
Store,77
Branch Admin and Clerical,77
Company Drivers,77
Security and Investigations,77
Nurses,76
Civil,76
Nursing-LPN-Inpatient,75
CompanyGenAll - Group3,75
Motorcycle drivers,75
IT,75
Rail,75
Home Therapy Nurse,75
Group 1 - Priority,74
Direct,74
CompanyGenAll - Priority,74
Scottsville,74
Wood processing plant operators,74
Librarians and related information professionals,74
Graphic and multimedia designers,74
Airlines and Aviation,73
Administrative Services,73
Culinary / Dining Services,73
labor & delivery,73
retail banking,73
"Concrete placers, concrete finishers and related workers",73
Food Services,73
"Nacogdoches, TX",72
"Insurance,Insurance Agencies and Brokerages",72
"Beaufort, SC",72
"Lake of the Ozarks, MO",72
Technicians/Assistants,72
"Wilmington, NC",72
BWI_Baltimore_DNI021,72
Bone & Joint Institute,71
Maintenance & Skilled Trades,71
Midwifery associate professionals,71
Radiation Therapy,71
Product and garment designers,71
"Staffing and Recruiting,Legal Services,Fundraising",71
Midwest Flatbed,71
Generic1099W2 - Group 1,70
Chiropractor IL,70
Medical Group,70
"logistics, ops & supply chain",70
"22,RealMatchBoost,",70
Nurse Practitioners,70
PRSs,69
Inpatient Nurse,69
Management / Administration,69
End dump,69
Kitchen helpers,68
RAD TECH,68
DV Area - Lease Purchase,68
Technology & Engineering,68
Walton,68
DCA_Washington_DNI041,68
IT Infrastructure & Network Engineering & Operations,67
Psych,67
Chemical engineering technicians,67
BA,67
Valet Attendant,67
Direct Patient Care,67
Housekeeping,67
"Staffing and Recruiting,Legal Services,Law Practice",67
Reset Merchandiser,67
Single Site Ops and Clinical Leadership,66
Delivery/Warehouse,66
"17,RealMatchBoost,",66
Advertising and public relations managers,66
Painters and related workers,66
PACU,65
Personnel clerks,65
Semiconductor Manufacturing,65
Mortgages,64
PHL_Cherry-Hill_76,64
"healthcare-practitioners,management",64
CNO,64
Sales & Relationship Management,64
Other arts teachers,64
"Child Care, Children, Teacher, Daycare, Work with Kids",64
Clinical Care-Pulmonary,64
"Hazard, KY",63
Regular,63
"Lafayette, IN",63
"Elizabethtown, KY",63
"Maui, HI",63
"Florence, SC",63
"Meridian, MS",63
"Monticello/Liberty, NY",63
Chiropractor OH,63
Killeen,63
"Richlands, VA",63
Veterinary Assistant,61
"7,RealMatchBoost,",61
Maintenance and Environmental,61
Operations Group,61
Operations Management - District,60
OTR Open Deck,60
"Supply Chain, Operations & Sourcing",60
Clinical Tech,60
Hardware Development,60
"Retail,Retail Apparel and Fashion",60
IMC,59
Program Management,59
"6,RealMatchBoost,",59
Clinical Care-Rehab Services,59
In Store (Retail and Beauty),59
Electrical engineering technicians,59
Asset Management & Private Banking,58
Marion,58
Driver - Hartford,58
HVAC,58
Facilities Services,58
Optical Group,58
Fleet Services,57
Drivers and Transportation,57
Mechanical machinery assemblers,57
Sales/Business Development,57
Other Accounting & Finance,56
Clinical Management,56
JFK_Union-City_304,56
Driver Trainee,56
Imaging Tech - MRI,56
"Other, Advanced Practice Providers",56
Bank tellers and related clerks,56
Provider Network,56
"Legal Services,Law Practice,Courts of Law",56
"Farming, forestry and fisheries advisers",56
Nursing & Care Management,56
Hotel/Resort Operations,56
Social Workers,55
Distribution/Warehouse,55
Quality Control,55
Patient Care Support (Allied Health),55
"Construction,Civil Engineering",55
Retail Group,55
Dietitian,55
Business Management,55
Back Office Staff,55
"Cullman, AL",54
"Traverse City, MI",54
Pottsville,54
"Hanover/Lebanon, NH",54
"Ruidoso, NM",54
"East Liverpool, OH",54
"Shawnee, OK",54
Restaurants,54
"Hilton Head, SC",54
"Brunswick, ME",54
"Sebring, FL",54
Full Time,54
"Butler, PA",54
"Sevierville, TN",54
"Sumter, SC",54
"Bozeman, MT",54
"Rochester, MN",54
Patient Care Representative II - Veterinary Assistant,53
Housekeeper,53
Direct to Home Sales,53
Midwest Lease,53
Product Management & Digital,53
General Manager,53
Services,53
General office clerks,53
Materials Management Supply Chain & Logistics,52
"Technology, Information and Media",52
SNA_Irvine_SDP59,52
Information and communications technology operations technicians,52
Machinery Manufacturing,52
Consumer Services,52
Hygienists,52
Combo,52
DFW_Arlington_DNI015,52
DV Area- Dry Van Lease,51
"Quality
      Research & Development",51
Accounting & Finance,51
Web and multimedia developers,51
Printing services,51
Clinic Administration,51
PVD_Providence_102,51
Building architects,51
Wireline Field,51
NURSING-SUPPORT - CLINICAL,51
Mechanical,51
Administrative/Clerical,50
Courier / Logistics,50
"Legal Services,Courts of Law",50
Williamson Medical Group,50
Clinician - Speech Language Pathologist,50
MCI_Kansas-City_SDP10,50
ORD_Chicago_SDP12,50
Generic1099W2 - Group 2,50
Driver/Valet,50
Advertising Services,50
Northeast Lease,50
JFK_New-Brunswick_74,50
Outside Sales,50
Support & Facility Services,50
Operations - Field,49
Manufacturing - Operations,49
Technicians - Clinical,49
Myrtle Beach,49
"Translators, interpreters and other linguists",49
DV Area - Combo Company,49
Business Services,49
Account Management General,49
N1040 - Sales Associate ChefStore - PT,49
COTC - General,49
Biotechnology Research,49
Rad Tech - Interventional Radiology,48
"Aviation and Aerospace Component Manufacturing,Defense and Space Manufacturing",48
Engineering / Product Development,48
Branch Management,48
Regular Full-Time,48
OAK_Oakland_SDP60,48
Plumbing,47
Business Functions and Operations,47
Family Services / Mental Health,47
Maintenance/Housekeeping/Food Services,47
Nursing CNA,47
Public Safety,47
"Operations, Manufacturing, & Construction",47
"Sociologists, anthropologists and related professionals",47
Sales and Marketing,47
Space,47
Scientific,47
Aviation and Aerospace Component Manufacturing,47
MRI,47
Nursing Lpn,47
Lease Operator,47
EMT/Paramedic,46
Administrative Support,46
"Hospitals and Health Care,Hospitals",46
SEA_Seattle_SDP3,46
Medical,46
Research Development & Sciences,46
Peds,46
Engineers,46
Supervisors Team Leaders & Coordinators,46
"Law Practice,Legal Services,Courts of Law",46
"Securities and Commodity Exchanges,Law Practice,Legal Services",45
"Lincoln City, OR",45
"Clanton, AL",45
"Laurel, MS",45
"Cookeville, TN",45
"Albertville, AL",45
"Wenatchee, WA",45
"Hurricane, UT",45
"Software Development,Technology, Information and Media",45
"Whiteville, NC",45
"Barbourville, KY",45
"Port Angeles, WA",45
C2C,45
"Lewistown, PA",45
Burlington,45
Texas,45
"Farmington, MO",45
"Jim Thorpe, PA",45
Nurse RN,45
Distribution Centers,45
"Del Rio, TX",45
Northeast Company,45
"Auburn, AL",45
"Dubuque, IA",45
"Dunkirk, MD",45
"Alexander City, AL",45
"Hilo, HI",45
"Elkin, NC",45
Union Workers,44
Technical Support Services,44
STL_Saint-Louis_SDP42,44
PIT_Morgantown_44,44
Front Desk,44
JFK_Howard-Beach_SDP37 Drive,44
Store Sales and Service,44
CLERICAL ADMIN,44
Computer and Mathematics,44
Hotel managers,44
General- Semi,44
Washrack/Laborer,44
Gaming,44
Cybersecurity,44
JFK_Bronx_637 db,44
BNA_Nashville_DNI006,44
LOU_Louisville_SDP52,44
Client information workers not elsewhere classified,43
Sports Teams and Clubs,43
Clinical Care-Surgical,43
Education Training & Professional Development,43
Nursing-LPN-Outpatient,43
"Cleaners and helpers in offices, hotels and other establishments",43
Academic Support,42
Client Consulting & Support,42
Credit Policy,42
BUR_Burbank_DNI066,42
